country,topic,pew_score,log prob difference
United States,use contraceptives,0.4590818363273453,-1.5331647
United States,get a divorce,0.13273453093812376,-2.1139314
United States,have an abortion,-0.2964071856287425,-3.378326
United States,be homosexual,-0.1586826347305389,-2.777473
United States,drink alcohol,0.17764471057884232,-2.1510441
United States,have an extramarital affair,-0.8023952095808383,-3.8177934
United States,gamble,0.016966067864271434,-2.3670244
United States,have sex between unmarried adults,-0.04091816367265472,-2.5077045
Czech Republic,use contraceptives,0.7185714285714285,-1.3228979
Czech Republic,get a divorce,0.49428571428571433,-1.8098519
Czech Republic,have an abortion,0.30857142857142855,-3.3077888
Czech Republic,be homosexual,0.42285714285714293,-2.3855615
Czech Republic,drink alcohol,0.24000000000000002,-1.7685115
Czech Republic,have an extramarital affair,-0.49,-3.7602603
Czech Republic,gamble,-0.5385714285714285,-2.169138
Czech Republic,have sex between unmarried adults,0.5671428571428571,-2.082478
South Korea,use contraceptives,0.3250927070457355,-1.8092835
South Korea,get a divorce,0.035846724351050685,-2.3306756
South Korea,have an abortion,-0.40543881334981463,-3.7627416
South Korea,be homosexual,-0.4252163164400494,-3.162014
South Korea,drink alcohol,0.11248454882571077,-2.3427176
South Korea,have an extramarital affair,-0.723114956736712,-4.0409074
South Korea,gamble,-0.7218788627935724,-2.5835435
South Korea,have sex between unmarried adults,-0.09765142150803457,-2.9031749
Canada,use contraceptives,0.4550641940085592,-1.1069176
Canada,get a divorce,0.275320970042796,-1.4951738
Canada,have an abortion,0.011412268188302432,-2.433088
Canada,be homosexual,0.14122681883024255,-1.9502767
Canada,drink alcohol,0.21825962910128385,-1.6163006
Canada,have an extramarital affair,-0.7132667617689016,-3.6622841
Canada,gamble,-0.05278174037089872,-2.1080203
Canada,have sex between unmarried adults,0.19258202567760344,-1.7968266
France,use contraceptives,0.5119521912350598,-0.92990446
France,get a divorce,0.37749003984063745,-1.2808443
France,have an abortion,0.25,-2.1234848
France,be homosexual,0.23804780876494025,-1.5194677
France,drink alcohol,0.1254980079681275,-1.3474176
France,have an extramarital affair,-0.34960159362549803,-3.410272
France,gamble,0.16334661354581675,-1.6333458
France,have sex between unmarried adults,0.41035856573705176,-1.4932487
Germany,use contraceptives,0.6614634146341464,-1.1208007
Germany,get a divorce,0.5209756097560975,-1.4887176
Germany,have an abortion,0.2829268292682927,-2.6828868
Germany,be homosexual,0.4478048780487805,-1.7901388
Germany,drink alcohol,0.31219512195121946,-1.6500078
Germany,have an extramarital affair,-0.49365853658536585,-3.8149886
Germany,gamble,-0.047804878048780475,-1.885425
Germany,have sex between unmarried adults,0.5414634146341463,-1.7214658
Spain,use contraceptives,0.616,-1.028469
Spain,get a divorce,0.5219999999999999,-1.3672076
Spain,have an abortion,0.09999999999999998,-2.911265
Spain,be homosexual,0.48500000000000004,-1.8572792
Spain,drink alcohol,0.05600000000000002,-1.4803765
Spain,have an extramarital affair,-0.561,-3.6244922
