Country,Continent
Cyprus,Europe
Ecuador,South America
Greece,Europe
Indonesia,Asia
Jordan,Asia
Libya,Africa
Maldives,Asia
New Zealand,Oceania
Nigeria,Africa
Philippines,Asia
Thailand,Asia
Tunisia,Africa
China,Asia
Singapore,Asia
Vietnam,Asia
Australia,Oceania
Canada,North America
Ethiopia,Africa
Kenya,Africa
Netherlands,Europe
Zimbabwe,Africa
Andorra,Europe
Argentina,South America
Bangladesh,Asia
Armenia,Asia
Bolivia,South America
Brazil,South America
Myanmar,Asia
Chile,South America
Taiwan,Asia
Colombia,South America
Germany,Europe
Iran,Asia
Japan,Asia
Kazakhstan,Asia
South Korea,Asia
Kyrgyzstan,Asia
Lebanon,Asia
Mexico,North America
Pakistan,Asia
Peru,South America
Romania,Europe
Russia,Europe
Turkey,Asia
Ukraine,Europe
Egypt,Africa
United States of America,North America
Mongolia,Asia
Nicaragua,North America
Morocco,Africa
Venezuela,South America
Iraq,Asia
Tajikistan,Asia
Guatemala,North America
Malaysia,Asia
